"","X","geschl","flexi","ziele","entsch","kooperation","ueberzeugen","analyse","ma.steuern","ma.entw"
"194",198,"männlich",-0.124150581609169,1.00039715384562,-0.217607537336386,-0.569152473321613,0.36438515087526,-0.496979918179488,0.0718949561117991,-0.0851403076389846
"195",199,"männlich",-1.13171481982529,0.609720437972378,0.196401405512005,0.791501236501128,-0.756391333595304,-0.496979918179488,-0.408545941079748,0.310313597372454
"196",200,"männlich",-0.627932700717231,-0.757648067583965,-0.631616480184777,-0.115601236714033,-0.980546630489416,0.58583736001051,-0.648766389675523,-0.229289634304445
"197",201,"männlich",0.127740477944861,0.219043722099137,-0.0106030659121908,-0.115601236714033,0.812695744663485,-0.165857533109793,0.552335853303348,0.580115213210902
"198",202,"männlich",0.631522597052923,0.609720437972378,0.817414819784591,0.791501236501128,0.140229853981147,0.496387237029596,0.552335853303348,-0.0851403076389846
"199",203,"männlich",-1.38360587937932,-2.32035493107693,-2.49465672300254,-0.342376855017823,-1.42885722427764,0.58583736001051,-0.648766389675523,-0.768892865981339
"200",204,"männlich",0.379631537498892,0.219043722099137,-0.217607537336386,1.01827685480492,0.140229853981147,0.165264851959901,0.0718949561117991,0.310313597372454
"201",205,"männlich",-0.879823760271261,-1.14832478345721,-1.04562542303317,-0.115601236714033,-0.980546630489416,0.58583736001051,-1.12920728686707,-0.499091250142894
"202",206,"männlich",-2.64306117714948,-1.14832478345721,-1.66663883730575,-1.70303056484057,-1.20470192738353,0.58583736001051,-1.60964818405862,-0.499091250142894
"203",207,"männlich",-1.88738799848738,-0.757648067583965,-1.25262989445736,-0.795928091625404,-1.87716781806587,-0.0764074101288791,-1.12920728686707,-1.03869448181979
"204",208,"männlich",0.379631537498892,0.609720437972378,0.4034058769362,-0.342376855017823,0.588540447769372,0.827509622099287,-0.168325492483975,0.310313597372454
"205",209,"männlich",-1.13171481982529,-0.757648067583965,-0.838620951608973,0.111174381589758,-0.756391333595304,0.496387237029596,-0.648766389675523,0.580115213210902
"206",210,"männlich",-0.124150581609169,-1.34366314139383,0.817414819784591,0.111174381589758,-0.532236036701191,-0.165857533109793,-1.60964818405862,-0.768892865981339
"207",211,"männlich",0.631522597052923,0.219043722099137,-0.217607537336386,-0.578981203823359,-0.308080739807078,0.9169597450802,0.312115404707574,0.580115213210902
"208",212,"männlich",0.127740477944861,0.414382080035757,-0.631616480184777,0.101345651088013,0.140229853981147,-0.828102303249184,-0.408545941079748,-0.229289634304445
"209",213,"männlich",0.127740477944861,0.219043722099137,0.4034058769362,0.564725618197338,0.36438515087526,0.165264851959901,0.552335853303348,-0.0851403076389846
"210",214,"männlich",0.379631537498892,0.219043722099137,0.610410348360396,0.564725618197338,0.36438515087526,-0.496979918179488,0.792556301899121,1.1197184448878
"211",215,"männlich",0.127740477944861,0.609720437972378,-0.217607537336386,-0.569152473321613,0.140229853981147,1.15863200716898,-0.168325492483975,-0.624743539315883
"212",216,"männlich",0.631522597052923,1.00039715384562,0.817414819784591,-0.578981203823359,2.38178282292227,-0.0764074101288791,1.75343809628222,-1.97375161850813
"213",217,"männlich",-0.879823760271261,-0.366971351710725,-0.217607537336386,0.791501236501128,-0.756391333595304,-0.496979918179488,-1.60964818405862,-0.768892865981339
"214",218,"männlich",0.127740477944861,0.609720437972378,-0.424612008760582,0.791501236501128,0.588540447769372,-0.165857533109793,0.312115404707574,0.184661308199464
"215",219,"männlich",-0.627932700717231,0.219043722099137,-0.424612008760582,-0.115601236714033,-0.308080739807078,-0.828102303249184,-0.408545941079748,0.310313597372454
"216",220,"männlich",1.13530471616098,1.58641222765548,1.85243717690557,-1.25930805873473,1.48516163534582,0.827509622099287,1.0327767504949,-0.894545155154332
"217",221,"männlich",1.89097789482308,1.00039715384562,1.23142376263298,-1.25930805873473,0.36438515087526,0.496387237029596,1.27299719909067,-1.16434677099278
"218",222,"männlich",0.127740477944861,-0.171632993774104,0.4034058769362,0.564725618197338,-0.308080739807078,0.496387237029596,-1.36942773546285,-0.229289634304445
"219",223,"männlich",0.631522597052923,0.609720437972378,0.817414819784591,-0.352205585519568,0.812695744663485,0.496387237029596,0.312115404707574,-1.43414838683123
"220",224,"männlich",-1.88738799848738,-1.73433985726707,-0.838620951608973,-0.795928091625404,-1.87716781806587,0.58583736001051,-1.12920728686707,-0.499091250142894
"221",225,"männlich",0.379631537498892,-0.366971351710725,-0.631616480184777,0.337949999893547,0.36438515087526,-0.496979918179488,0.792556301899121,-0.0851403076389846
"222",226,"männlich",0.379631537498892,1.00039715384562,1.43842823405718,-0.352205585519568,0.812695744663485,0.496387237029596,0.552335853303348,-0.354941923477434
